*** [38965] [1452966354] Starting up
*** [38965] start a is 467466666666702
*** [38965] end a is 474400000000035
467505992986766828292126284748 is excellent
+++ [38965] Checked [467466666666702] to [467520666666694]
*** [38965] [1452967265] working on: 467520666666694 tried: 53999999992 rate: 59275521 / sec
*** [38965] time left: 0 wk 1 d 8 h 14 m 17 s
+++ [38965] Checked [467466666666702] to [467574666666694]
*** [38965] [1452968164] working on: 467574666666694 tried: 54000000000 rate: 60066740 / sec
*** [38965] time left: 0 wk 1 d 7 h 33 m 50 s
+++ [38965] Checked [467466666666702] to [467629666666694]
*** [38965] [1452969056] working on: 467629666666694 tried: 55000000000 rate: 61659192 / sec
*** [38965] time left: 0 wk 1 d 6 h 30 m 3 s
+++ [38965] Checked [467466666666702] to [467685666666694]
*** [38965] [1452969957] working on: 467685666666694 tried: 56000000000 rate: 62153163 / sec
*** [38965] time left: 0 wk 1 d 6 h 0 m 29 s
+++ [38965] Checked [467466666666702] to [467740666666694]
*** [38965] [1452970864] working on: 467740666666694 tried: 55000000000 rate: 60639470 / sec
*** [38965] time left: 0 wk 1 d 6 h 30 m 19 s
+++ [38965] Checked [467466666666702] to [467794666666694]
*** [38965] [1452971762] working on: 467794666666694 tried: 54000000000 rate: 60133630 / sec
*** [38965] time left: 0 wk 1 d 6 h 30 m 45 s
+++ [38965] Checked [467466666666702] to [467850666666694]
*** [38965] [1452972667] working on: 467850666666694 tried: 56000000000 rate: 61878453 / sec
*** [38965] time left: 0 wk 1 d 5 h 24 m 2 s
+++ [38965] Checked [467466666666702] to [467906666666694]
*** [38965] [1452973570] working on: 467906666666694 tried: 56000000000 rate: 62015503 / sec
*** [38965] time left: 0 wk 1 d 5 h 5 m 6 s
+++ [38965] Checked [467466666666702] to [467957666666694]
*** [38965] [1452974464] working on: 467957666666694 tried: 51000000000 rate: 57046979 / sec
*** [38965] time left: 0 wk 1 d 7 h 22 m 11 s
+++ [38965] Checked [467466666666702] to [468009666666694]
*** [38965] [1452975358] working on: 468009666666694 tried: 52000000000 rate: 58165548 / sec
*** [38965] time left: 0 wk 1 d 6 h 31 m 5 s
+++ [38965] Checked [467466666666702] to [468063666666694]
*** [38965] [1452976258] working on: 468063666666694 tried: 54000000000 rate: 60000000 / sec
*** [38965] time left: 0 wk 1 d 5 h 20 m 6 s
+++ [38965] Checked [467466666666702] to [468118666666694]
*** [38965] [1452977162] working on: 468118666666694 tried: 55000000000 rate: 60840707 / sec
*** [38965] time left: 0 wk 1 d 4 h 40 m 43 s
+++ [38965] Checked [467466666666702] to [468172666666694]
*** [38965] [1452978068] working on: 468172666666694 tried: 54000000000 rate: 59602649 / sec
*** [38965] time left: 0 wk 1 d 5 h 1 m 21 s
+++ [38965] Checked [467466666666702] to [468226666666694]
*** [38965] [1452978964] working on: 468226666666694 tried: 54000000000 rate: 60267857 / sec
*** [38965] time left: 0 wk 1 d 4 h 27 m 12 s
+++ [38965] Checked [467466666666702] to [468279666666694]
*** [38965] [1452979861] working on: 468279666666694 tried: 53000000000 rate: 59085841 / sec
*** [38965] time left: 0 wk 1 d 4 h 46 m 24 s
+++ [38965] Checked [467466666666702] to [468334666666694]
*** [38965] [1452980763] working on: 468334666666694 tried: 55000000000 rate: 60975609 / sec
*** [38965] time left: 0 wk 1 d 3 h 37 m 52 s
